22054,22271,11085000000
22054,15484,10000000000
15362,31293,90199940000
22056,5476,1037650000
22056,22056,474350000
22052,10712,4000000000
22052,22052,1000000000
22054,15484,100000000
22054,22308,570000000
22070,31294,297600000
22070,22014,500000000
22071,31295,120000000
15363,19357,2920779023
15363,31296,39079589
15364,12800,300000000
15364,31297,1003016
22074,23183,700000000
22074,22074,373987
22073,31298,11500000
22073,22488,500000000
22076,25157,115157700
22076,31299,1000000
22075,31300,100000000
22060,10712,100000000
22060,22060,82500000
22077,25342,126000000
22065,29737,3609900
22065,22065,84538746
2203,28333,32680000000
2203,31301,19990000
15368,31302,200000000
15368,26099,100000000
22068,24354,1000000000
22068,31303,1000000000
22069,25976,85280050
22069,22069,4990036
22061,31304,100000000
15367,15567,200000000
15367,15367,1531212650
22060,10712,900000000
22060,22060,713900000
22063,23306,5200000
22063,30417,594790000
15369,31305,925928779
15369,31306,14060000
15365,31307,140040000
25595,9294,311269
25595,27071,5112878731
15366,31308,1943446
15366,676,300000000
15371,15389,724590000
25593,26310,19900380000
15372,15672,8511734156
15372,31309,206554130
15373,326,3569000000
15373,25962,710000000
15373,15617,4328645562
25592,25614,199670421
25592,28252,7515642968
15370,913,123062717
15370,31310,1097283
316,6871,83120000
316,29830,700000000
25594,25606,90000000
25594,4853,1300496096
25594,4871,1300496096
25594,4886,1300496096
25594,4885,1300496057
25594,25928,920204
25588,25609,17640000
25588,5090,1318586106
25588,5090,1318586106
25588,5090,1318586106
25588,4783,1318586067
25588,25972,1021689
25589,25756,100000000
25589,4783,1297996106
25589,4784,1297996106
25589,4855,1297996106
25589,4845,1297996067
25589,26032,1696398
25689,25781,200000000
25689,5183,1272996106
25689,5079,1272996106
25689,5082,1272996106
25689,5090,1272996067
25689,25957,1639761
2203,27071,2980000000
2203,9824,19990000
25692,603,376146173
25692,31311,4014433639
25591,25612,124029979
25591,5586,1218992515
25591,5596,1218992515
25591,5579,1218992515
25591,5595,1218992476
25591,26001,2939752
15374,15503,115075631
15374,15374,1931914369
15378,15550,51195413
15378,31312,205977
15378,31313,205977
15378,15378,158058266
25590,31314,1878212
25590,31315,14000000
15379,9537,226907
15379,16500,2588774345
15375,15881,2373495832
15375,9537,204943
22082,22494,5659357859
22082,14464,19900000
22082,601,595238960
15376,15490,85454210452
15376,26310,23622027009
15377,14500,84290882
15377,31316,1009118
15368,31317,2741200
15368,3811,21390000
1182,26704,26119059
1182,31318,1020441
1182,12734,11703359
1182,108,8399078
1182,31319,1113689
1182,31320,4190391
1182,26308,45146425
1182,26374,2324638713
1182,31321,15133794
1182,31322,1014685
1182,31323,20753589
1182,31324,1060280
1182,431,4634341
1182,240,13440613
1182,30422,1055804
1182,431,16511519
1182,26011,5026203
25691,26440,1000000000
25691,28910,2700000000
25691,25933,1292644
25687,25813,200000000
25687,28957,3500000000
25687,26065,3785560
15381,17501,1337650001
15381,31325,120000
15382,18957,1735344586
15382,236,400000000
15503,228,114975631
2418,7609,16332000
2418,2418,1006945
15380,18171,8461853
15380,31326,8020000
25685,2,1500000
25685,25685,1366500
2,13200,10000
2,2,1890000
25680,25613,100000000
25680,4885,1050000000
25680,26447,2542920
25781,31327,200000000
25781,312,2986603
2,5806,2803637
2,2,66407345
25645,25623,3357615561
25645,1208,608405500
25677,27263,5438800
25677,31328,94511200
15502,153,30800000
15502,27965,119000000
228,228,196950000
228,26968,1803000000
15505,377,1664300
15505,15841,488909000
15506,26340,17083200
15506,26126,82866800
15507,31329,35915302
15507,15457,1221296479
15504,21923,13000000
15504,15401,21717585
25682,29082,1545707
25682,31330,1000000
25623,25762,3323580061
25623,240,33985500
25762,25727,3274680881
25762,388,48849180
25676,25789,59312697777
25676,30890,279057923
377,26433,395095000
377,377,3170000
15511,31331,1020000
15511,31332,700000
377,377,3170000
377,26306,4705000
25727,2378,112161429
25727,25846,3162469452
25846,166,1038940000
25846,25837,2123479452
25837,866,133968341
25837,25834,1989461111
25834,11260,59447000
25834,25830,1929964111
25830,25831,1839014111
25830,2378,90900000
25831,25828,1724164111
25831,166,114800000
25828,1075,41610101
25828,25827,1682504010
25827,2004,51760006
25827,26309,1630694004
25672,25742,50000000
25672,5589,100000000
25672,10712,3852301
25672,25935,3852301
25672,26083,3852301
25672,25903,3852262
15510,2,40000000
15510,15510,26960
2,15510,200000
2,2,39700000
15508,9165,498400001
15508,31333,300000
25673,1190,399350000
25673,31334,100000
15509,31335,120000
15509,31336,1999450000
25675,31337,380000
25675,31338,282279236
15514,31339,110000
15514,26524,1476868230
15512,18673,1648780000
15512,31340,510000
22088,31319,400000
22088,31341,50000
22084,5328,999700000
22084,31342,100000
25674,31343,84360298
25674,31344,130000
25667,31345,110000
25667,12511,100124782
25668,26844,909484460
25668,8145,49040000
25671,31346,510000
25671,4269,166893840
25663,31347,99570000
25663,31348,210000
15513,16979,84840657
15513,31349,120000
15516,26429,29950000
15516,2197,30000000
15517,31350,100000
15517,21270,236590000
15515,31351,250000
15515,30413,199530000
25670,31352,100000000
